Datum (MEZ),Solar [kWh],Preis [EUR/kWh],Last [kWh]
2020-05-01 00:00:00+01:00,0.0,0.02675,87.869
2020-05-01 01:00:00+01:00,0.0,0.0191,84.6616
2020-05-01 02:00:00+01:00,0.0,0.01315,83.2734
2020-05-01 03:00:00+01:00,0.0,0.0078,82.9602
2020-05-01 04:00:00+01:00,0.0,0.0123,82.4234
2020-05-01 05:00:00+01:00,3.774,0.0127,80.1044
2020-05-01 06:00:00+01:00,50.032,0.0075,82.4932
2020-05-01 07:00:00+01:00,138.10399999999998,-0.00785,87.4278
2020-05-01 08:00:00+01:00,236.702,-0.01215,96.7308
2020-05-01 09:00:00+01:00,307.572,-0.01445,102.881
2020-05-01 10:00:00+01:00,359.446,-0.01235,106.0476
2020-05-01 11:00:00+01:00,381.046,0.00175,108.0668
2020-05-01 12:00:00+01:00,392.882,-0.0102,105.9004
2020-05-01 13:00:00+01:00,373.174,-0.0103,99.8298
2020-05-01 14:00:00+01:00,317.952,-0.0002,99.023
2020-05-01 15:00:00+01:00,255.814,0.00975,96.482
2020-05-01 16:00:00+01:00,182.112,0.0394,97.8192
2020-05-01 17:00:00+01:00,113.454,0.09495,100.5918
2020-05-01 18:00:00+01:00,54.62,0.1175,103.3238
2020-05-01 19:00:00+01:00,11.222,0.14215,101.3022
2020-05-01 20:00:00+01:00,0.02,0.1344,98.3736
2020-05-01 21:00:00+01:00,0.0,0.10455,97.6116
2020-05-01 22:00:00+01:00,0.0,0.08,90.367
2020-05-01 23:00:00+01:00,0.0,0.061,82.9468
